Country;Semester;Year;Semester_Number;Electricity Price;Gas_Price;Gas_Price_Change;Gas_Price_Pct_Change;Gas_Trend;Ukraine_War;Energy_Crisis;Middle_East_Conflict;time_frequency;energy_product;energy_consumption;unit_of_measure;tax_type;currency;consumption_description;consumption_band;Gas_Price_Median;Gas_Price_Max;Gas_Price_Min;Gas_Price_Std;Gas_Price_Range;Gas_Price_CV
Albania;2021-S1;2021;1;0.0771;0.021884866666666666;;;0;0;0;0;Half-yearly, semesterly;Electricity;Consumption from 2 500 kWh to 4 999 kWh - band DC;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption from 2 500 kWh to 4 999 kWh - band DC;DC;0.021085;0.035;0.01492;0.00482668126102457;0.020079999999999997;0.0002205488082034421
Albania;2021-S1;2021;1;0.0771;0.021884866666666666;;;0;0;0;0;Half-yearly, semesterly;Electricity;Consumption from 2 500 kWh to 4 999 kWh - band DC;Kilowatt-hour;Excluding VAT and other recoverable taxes and levies;Euro;Consumption from 2 500 kWh to 4 999 kWh - band DC;DC;0.021085;0.035;0.01492;0.00482668126102457;0.020079999999999997;0.0002205488082034421
Albania;2021-S1;2021;1;0.0925;0.021884866666666666;;;0;0;0;0;Half-yearly, semesterly;Electricity;Consumption from 2 500 kWh to 4 999 kWh - band DC;Kilowatt-hour;All taxes and levies included;Euro;Consumption from 2 500 kWh to 4 999 kWh - band DC;DC;0.021085;0.035;0.01492;0.00482668126102457;0.020079999999999997;0.0002205488082034421
Albania;2021-S2;2021;2;0.0781;0.07139254054054055;0.04950767387387388;2.2621875941917495;1;0;0;0;Half-yearly, semesterly;Electricity;Consumption from 2 500 kWh to 4 999 kWh - band DC;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption from 2 500 kWh to 4 999 kWh - band DC;DC;0.07078;0.183;0.0338;0.029414433726409856;0.1492;0.00041200990332745994
Albania;2021-S2;2021;2;0.0781;0.07139254054054055;0.04950767387387388;2.2621875941917495;1;0;0;0;Half-yearly, semesterly;Electricity;Consumption from 2 500 kWh to 4 999 kWh - band DC;Kilowatt-hour;Excluding VAT and other recoverable taxes and levies;Euro;Consumption from 2 500 kWh to 4 999 kWh - band DC;DC;0.07078;0.183;0.0338;0.029414433726409856;0.1492;0.00041200990332745994
Albania;2021-S2;2021;2;0.0937;0.07139254054054055;0.04950767387387388;2.2621875941917495;1;0;0;0;Half-yearly, semesterly;Electricity;Consumption from 2 500 kWh to 4 999 kWh - band DC;Kilowatt-hour;All taxes and levies included;Euro;Consumption from 2 500 kWh to 4 999 kWh - band DC;DC;0.07078;0.183;0.0338;0.029414433726409856;0.1492;0.00041200990332745994
Albania;2022-S1;2022;1;0.0784;0.09201900552486186;0.020626464984321316;0.28891624850650177;1;1;1;0;Half-yearly, semesterly;Electricity;Consumption from 2 500 kWh to 4 999 kWh - band DC;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption from 2 500 kWh to 4 999 kWh - band DC;DC;0.08356;0.21436000000000002;0.04856;0.024964136723284833;0.1658;0.0002712932679601712
Albania;2022-S1;2022;1;0.0784;0.09201900552486186;0.020626464984321316;0.28891624850650177;1;1;1;0;Half-yearly, semesterly;Electricity;Consumption from 2 500 kWh to 4 999 kWh - band DC;Kilowatt-hour;Excluding VAT and other recoverable taxes and levies;Euro;Consumption from 2 500 kWh to 4 999 kWh - band DC;DC;0.08356;0.21436000000000002;0.04856;0.024964136723284833;0.1658;0.0002712932679601712
Albania;2022-S1;2022;1;0.0941;0.09201900552486186;0.020626464984321316;0.28891624850650177;1;1;1;0;Half-yearly, semesterly;Electricity;Consumption from 2 500 kWh to 4 999 kWh - band DC;Kilowatt-hour;All taxes and levies included;Euro;Consumption from 2 500 kWh to 4 999 kWh - band DC;DC;0.08356;0.21436000000000002;0.04856;0.024964136723284833;0.1658;0.0002712932679601712
Albania;2022-S2;2022;2;0.0813;0.10594205405405406;0.013923048529192197;0.15130622690146822;1;1;1;0;Half-yearly, semesterly;Electricity;Consumption from 2 500 kWh to 4 999 kWh - band DC;Kilowatt-hour;Excluding taxes and levies;Euro;Consumption from 2 500 kWh to 4 999 kWh - band DC;DC;0.1072;0.24;0.027780000000000003;0.043706998868668134;0.21222;0.000412555705653657
