Semester;Year;Semester_Number;Country;Observations;Avg_Electricity_Price;Median_Electricity_Price;Std_Electricity_Price;Min_Electricity_Price;Max_Electricity_Price;Q1_Electricity_Price;Q3_Electricity_Price;Gas_Price;Gas_Price_Min;Gas_Price_Max;Gas_Price_Median;Gas_Price_Std;Gas_Price_Range;Gas_Price_CV;Gas_Price_Change;Gas_Price_Pct_Change;Gas_Trend;Ukraine_War;Energy_Crisis;Middle_East_Conflict
2021-S1;2021;1;40;120;0.13381916666666666;0.12869999999999998;0.05710713254519975;0.0404;0.3193;0.0853;0.168275;0.021884866666666666;0.01492;0.035;0.021085;0.00482668126102457;0.020079999999999997;0.0002205488082034421;;;0;0;0;0
2021-S2;2021;2;39;117;0.14954957264957264;0.1448;0.06490689302952984;0.0535;0.3448;0.0909;0.1886;0.07139254054054055;0.0338;0.183;0.07078;0.029414433726409856;0.1492;0.00041200990332745994;0.04950767387387388;2.2621875941917495;1;0;0;0
2022-S1;2022;1;38;114;0.16499999999999998;0.15845;0.07828489382869412;0.0279;0.4559;0.09765;0.20829999999999999;0.09201900552486186;0.04856;0.21436000000000002;0.08356;0.024964136723284833;0.1658;0.0002712932679601712;0.020626464984321316;0.28891624850650177;1;1;1;0
2022-S2;2022;2;39;117;0.1986;0.1956;0.10386083278217491;0.0583;0.5871;0.1084;0.2489;0.10594205405405406;0.027780000000000003;0.24;0.1072;0.043706998868668134;0.21222;0.000412555705653657;0.013923048529192197;0.15130622690146822;1;1;1;0
2023-S1;2023;1;39;117;0.20139230769230768;0.1876;0.10305878399030179;0.0603;0.4514;0.1138;0.2653;0.042229723756906076;0.023780000000000003;0.07149;0.04009;0.01198758067663452;0.047709999999999995;0.00028386595057170176;-0.06371233029714798;-0.6013884747282745;-1;1;1;0
2023-S2;2023;2;39;117;0.19045555555555557;0.1866;0.0904365460957671;0.0501;0.459;0.1164;0.2488;0.03612461956521739;0.024030000000000003;0.05256;0.035894999999999996;0.005577214658926646;0.02853;0.00015438819082531373;-0.006105104191688686;-0.14456888770650034;-1;1;1;0
2024-S1;2024;1;39;117;0.18542649572649572;0.1879;0.08432905622001845;0.0434;0.3951;0.1114;0.2436;0.02965928571428571;0.022719999999999997;0.03767;0.02939;0.003562587835220648;0.014950000000000003;0.00012011711507619673;-0.0064653338509316795;-0.17897306404181013;-1;1;0;1
2024-S2;2024;2;39;117;0.18416581196581197;0.1814;0.08164302571982787;0.0554;0.3943;0.118;0.2408;0.03988162162162163;0.030379999999999997;0.0528;0.03939;0.0052140688200674355;0.02242;0.00013073863619529112;0.010222335907335917;0.3446588702711819;1;1;0;0
2025-S1;2025;1;39;117;0.18857521367521365;0.1887;0.08029580753643423;0.0552;0.3835;0.1186;0.2468;0.0405843093922652;0.03009;0.05722;0.03953;0.0070851230831753854;0.027129999999999998;0.00017457788956551042;0.0007026877706435702;0.01761933798255111;1;1;0;1
2025-S2;2025;2;37;111;0.1957936936936937;0.1955;0.08296830422109099;0.0569;0.4042;0.1231;0.2593;0.03125204918032787;0.026539999999999998;0.037020000000000004;0.03138;0.00208229441624638;0.010480000000000003;6.662905220170685e-05;-0.00933226021193733;-0.22994749329690278;-1;1;0;1
